SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
R0001,2026-03-02,Ny kund,65+,Annan del av regionen,Webbformulär,Klagomål eller uppföljning,Fakturering och betalning,16,1.3,Ja,Nej,,4,5,8,7,37.41,Nej,Jag behövde en uppföljande kontakt om fakturan innan allt blev tydligt.
R0002,2026-02-20,Ny kund,35–44,Lokalt område,Chatt,Leverans- eller orderstatus,Order och leverans,29,6.3,Nej,Nej,,1,4,6,6,119.97,Nej,"Personalen var hjälpsam, men jag borde ha kunnat hitta leveransstatusen på webbplatsen."
R0003,2026-02-22,Ny kund,35–44,Lokalt område,Webbformulär,Teknisk support,Teknisk support,43,4.3,Nej,Ja,,4,3,5,2,31.06,Nej,"Jag blev ombedd att läsa instruktionerna, men de gav inget svar på min fråga."
R0004,2026-05-11,Ny kund,25–34,Annan del av regionen,Telefon,Leverans- eller orderstatus,Order och leverans,18,2.9,Ja,Nej,,2,3,7,6,58.87,Nej,När jag väl fick kontakt med någon var svaret tydligt. Den här informationen borde finnas på webbplatsen utan att man behöver kontakta företaget.
R0005,2026-03-15,Återkommande kund,25–34,Lokalt område,E-post,Produkt- eller tjänsteinformation,Kundinformation,4,0.6,Ja,Ja,4,4,4,9,9,32.66,Nej,Jag hittade det mesta av informationen själv och kundservicen bekräftade den sista detaljen.
R0006,2026-03-13,Ny kund,45–54,Annanstans i Finland,Telefon,Köp eller bokning,Kundinformation,97,0.4,Ja,Ja,,3,5,8,10,67.33,Nej,Mycket hjälpsam kundinformation. Min fråga löstes vid den första kontakten.
R0007,2026-01-27,Ny kund,35–44,Annanstans i Finland,Telefon,Installation eller konfigurering,Teknisk support,1,3.6,Nej,Nej,,3,3,3,3,35.98,Ja,Teknikern gav mig ett svar på en enda rad och avslutade samtalet innan jag hade förstått hur problemet skulle lösas.
R0008,2026-05-13,Ny kund,55–64,Lokalt område,E-post,Retur eller avbokning,Order och leverans,26,0.9,Ja,Nej,4,2,3,7,5,160.63,Nej,Leveransinformationen på webbplatsen var otydlig. Kundservicen svarade genast när jag frågade.
R0009,2026-06-25,Återkommande kund,55–64,Annan del av regionen,Telefon,Klagomål eller uppföljning,Fakturering och betalning,10,3,Ja,Ja,,5,3,8,7,53.16,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
R0010,2026-03-22,Återkommande kund,55–64,Lokalt område,E-post,Retur eller avbokning,Fakturering och betalning,11,2.4,Ja,Ja,4,3,3,10,9,146.48,Nej,Min fråga om fakturan besvarades tydligt och jag förstod avgiften.
