SvarID,Datum,Kundtyp,Åldersgrupp,Region,Kontaktkanal,Kontaktorsak,Avdelning,VäntetidMinuter,LösningstidTimmar,LöstVidFörstaKontakt,InformationLättAttHitta,BetygEpostsvarshastighet,BetygWebbnavigering,BetygPersonalensHjälpsamhet,Helhetsnöjdhet,Rekommendationsvilja,KöpEllerTjänstevärdeEUR,UppföljningBehövs,Kundkommentar
VBA001,2026-05-13,Företagskund,35–44,Vasa med omnejd,Telefon,Anmälan till kurs,Kursanmälan och webb,8,1.8,Ja,Nej,,2,4,7,8,790,Nej,Jag hittade flera sidor om kursen men inte vilken information som var aktuell.
VBA002,2026-03-24,Företagskund,65+,Vasa med omnejd,Telefon,Fakturauppgifter,Fakturering och betalning,8,0.2,Nej,Ja,,3,4,8,8,690,Nej,Bra och saklig hjälp med fakturauppgifterna.
VBA003,2026-01-12,Ny kund,25–34,Vasa med omnejd,Webbformulär,Faktura,Fakturering och betalning,14,1.1,Ja,Nej,,3,3,8,10,1150,Nej,Fakturan kom som väntat efter utbildningen.
VBA004,2026-03-15,Återkommande kund,65+,Vasa med omnejd,E-post,Pris på webbplatsen,Kursanmälan och webb,30,2.1,Nej,Nej,4,2,4,6,9,690,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA005,2026-06-15,Ny kund,25–34,Vasa med omnejd,E-post,Pris och offert,Kundinformation,7,0.2,Ja,Ja,4,3,5,10,10,790,Nej,Kundinformationen svarade tydligt på mina frågor om upplägget.
VBA006,2026-02-01,Återkommande kund,35–44,Övriga Österbotten,Webbformulär,Inloggning till onlinekurs,Teknisk support,21,8.6,Nej,Nej,,3,3,5,5,690,Ja,"Jag fick höra att det borde vara enkelt, men jag behövde fortfarande hjälp för att få ljudet att fungera."
VBA007,2026-03-28,Återkommande kund,35–44,Vasa med omnejd,E-post,Online eller på plats,Kundinformation,2,0.5,Ja,Ja,4,5,5,9,10,690,Nej,"Jag är inte så van vid AI, men den äldre damen gjorde det lätt att förstå vilken kurs som passar oss."
VBA008,2026-03-13,Ny kund,35–44,Vasa med omnejd,E-post,Kursdatum och plats,Kursanmälan och webb,22,4.5,Ja,Nej,4,2,4,7,8,690,Nej,Jag ringde för att fråga om priset eftersom jag inte hittade rätt prisuppgift på webbsidan.
VBA009,2026-04-15,Ny kund,45–54,Övriga Finland,E-post,Fakturauppgifter,Fakturering och betalning,12,1.3,Nej,Nej,4,3,4,7,9,790,Nej,Fakturan kom som väntat efter utbildningen.
VBA010,2026-04-15,Återkommande kund,45–54,Vasa med omnejd,Webbformulär,Inloggning till onlinekurs,Teknisk support,21,6.5,Nej,Ja,,5,2,5,4,790,Ja,"Jag fick höra att det borde vara enkelt, men jag behövde fortfarande hjälp för att få ljudet att fungera."
VBA011,2026-03-26,Återkommande kund,55–64,Vasa med omnejd,E-post,"Teams, ljud eller kamera",Teknisk support,33,5.3,Nej,Ja,2,4,2,7,7,1150,Ja,Jag kom in på kursen efter en andra kontakt med supporten.
VBA012,2026-06-12,Ny kund,65+,Vasa med omnejd,E-post,Länk till utbildning,Teknisk support,35,9.8,Ja,Nej,4,2,2,5,5,690,Ja,Jag kom in på kursen efter en andra kontakt med supporten.
VBA013,2026-06-09,Återkommande kund,25–34,Vasa med omnejd,Telefon,Anmälan till kurs,Kursanmälan och webb,23,2.1,Ja,Nej,,2,4,8,7,850,Nej,"Personalen var hjälpsam, men jag kontaktade er bara eftersom jag inte hittade kursdatumet på webbplatsen."
VBA014,2026-05-15,Ny kund,35–44,Övriga Österbotten,E-post,Inloggning till onlinekurs,Teknisk support,15,10.0,Nej,Nej,3,4,3,6,6,850,Ja,"Jag fick höra att det borde vara enkelt, men jag behövde fortfarande hjälp för att få ljudet att fungera."
VBA015,2026-05-01,Företagskund,55–64,Vasa med omnejd,Telefon,Kursdatum och plats,Kursanmälan och webb,19,2.6,Ja,Nej,,2,4,8,7,850,Ja,Jag ringde för att fråga om priset eftersom jag inte hittade rätt prisuppgift på webbsidan.
VBA016,2026-05-02,Företagskund,35–44,Vasa med omnejd,Webbformulär,Pris på webbplatsen,Kursanmälan och webb,17,2.0,Ja,Ja,,2,5,9,7,950,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA017,2026-06-01,Ny kund,25–34,Övriga Österbotten,Webbformulär,Faktura efter utbildning,Fakturering och betalning,12,2.3,Ja,Nej,,4,3,9,9,1390,Nej,Fakturan kom som väntat efter utbildningen.
VBA018,2026-04-08,Återkommande kund,45–54,Vasa med omnejd,Telefon,Anmälan till kurs,Kursanmälan och webb,7,1.5,Ja,Nej,,2,4,5,5,850,Nej,Det var oklart var man anmäler sig. Personen som hjälpte mig var däremot mycket tydlig.
VBA019,2026-02-01,Återkommande kund,25–34,Vasa med omnejd,Webbformulär,Pris på webbplatsen,Kursanmälan och webb,6,2.3,Ja,Nej,,2,4,8,6,690,Nej,Jag behövde skicka e-post bara för att få veta datum och plats. Den informationen borde finnas tydligare på webben.
VBA020,2026-06-20,Företagskund,65+,Övriga Finland,E-post,Kursdatum och plats,Kursanmälan och webb,18,2.5,Ja,Ja,5,2,3,6,8,850,Nej,Jag borde ha kunnat se direkt på webben om kursen ordnas online eller hos kunden.
VBA021,2026-03-09,Företagskund,55–64,Vasa med omnejd,Telefon,Pris och offert,Kundinformation,2,1.3,Ja,Ja,,5,5,8,9,1150,Nej,"Väldigt varmt och professionellt bemötande. Den äldre damen gick igenom pris, upplägg och nästa steg i lugn takt."
VBA022,2026-05-16,Återkommande kund,35–44,Vasa med omnejd,E-post,Betalningsvillkor,Fakturering och betalning,16,1.9,Ja,Ja,4,5,4,7,8,690,Nej,Jag hade en fråga om betalningsvillkoret och fick svar samma dag.
VBA023,2026-02-20,Ny kund,35–44,Vasa med omnejd,Telefon,"Teams, ljud eller kamera",Teknisk support,39,9.1,Nej,Ja,,3,3,3,5,690,Nej,Jag fick ett mycket kort svar och visste fortfarande inte hur jag skulle komma in på utbildningen.
VBA024,2026-04-16,Ny kund,25–34,Övriga Österbotten,E-post,Kursdatum och plats,Kursanmälan och webb,19,1.2,Ja,Nej,4,2,4,9,7,1390,Ja,Jag ringde för att fråga om priset eftersom jag inte hittade rätt prisuppgift på webbsidan.
