ResponseID,Date,CustomerType,AgeGroup,Region,Channel,ContactReason,Department,WaitingTimeMinutes,ResolutionTimeHours,SolvedFirstContact,InformationEasyToFind,EmailResponseSpeedRating,WebsiteNavigationRating,StaffHelpfulnessRating,OverallSatisfaction,WouldRecommend,PurchaseOrServiceValueEUR,FollowUpNeeded,CustomerComment
R0001,2026-03-02,New customer,65+,Other part of region,Web form,Complaint or follow-up,Billing & Payments,16,1.3,Yes,No,,4,5,8,7,37.41,No,I needed one follow-up about the invoice before everything was clear.
R0002,2026-02-20,New customer,35–44,Local area,Chat,Delivery or order status,Orders & Delivery,29,6.3,No,No,,1,4,6,6,119.97,No,"The employee was helpful, but I should have been able to find the delivery status on the website."
R0003,2026-02-22,New customer,35–44,Local area,Web form,Technical support,Technical Support,43,4.3,No,Yes,,4,3,5,2,31.06,No,"I was told to check the instructions, but the instructions did not answer my question."
R0004,2026-05-11,New customer,25–34,Other part of region,Phone,Delivery or order status,Orders & Delivery,18,2.9,Yes,No,,2,3,7,6,58.87,No,"Once I reached someone, the answer was clear. The website should show this information without a separate contact."
R0005,2026-03-15,Returning customer,25–34,Local area,Email,Product or service information,Customer Information,4,0.6,Yes,Yes,4,4,4,9,9,32.66,No,I found most of the information myself and customer service confirmed the last detail.
R0006,2026-03-13,New customer,45–54,Elsewhere in Finland,Phone,Purchase or booking,Customer Information,97,0.4,Yes,Yes,,3,5,8,10,67.33,No,Very helpful customer information. My question was solved during the first contact.
R0007,2026-01-27,New customer,35–44,Elsewhere in Finland,Phone,Installation or setup,Technical Support,1,3.6,No,No,,3,3,3,3,35.98,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0008,2026-05-13,New customer,55–64,Local area,Email,Return or cancellation,Orders & Delivery,26,0.9,Yes,No,4,2,3,7,5,160.63,No,The delivery information on the website was unclear. Customer service answered immediately once I asked.
R0009,2026-06-25,Returning customer,55–64,Other part of region,Phone,Complaint or follow-up,Billing & Payments,10,3.0,Yes,Yes,,5,3,8,7,53.16,No,The invoice question was answered clearly and I understood the charge.
R0010,2026-03-22,Returning customer,55–64,Local area,Email,Return or cancellation,Billing & Payments,11,2.4,Yes,Yes,4,3,3,10,9,146.48,No,The invoice question was answered clearly and I understood the charge.
R0011,2026-06-05,Returning customer,65+,Local area,Chat,Billing or payment,Billing & Payments,16,3.1,Yes,Yes,,4,4,8,7,59.29,No,I needed one follow-up about the invoice before everything was clear.
R0012,2026-05-14,New customer,45–54,Local area,Email,Purchase or booking,Customer Information,16,0.4,Yes,No,3,5,5,9,8,76.2,No,"I am not very comfortable with online services, but the older lady made the process feel easy."
R0013,2026-03-29,Business customer,45–54,Local area,In person,Complaint or follow-up,Technical Support,36,13.5,No,Yes,,5,3,5,3,1000.85,Yes,"I was told to check the instructions, but the instructions did not answer my question."
R0014,2026-02-06,New customer,45–54,Local area,Web form,Delivery or order status,Orders & Delivery,17,2.5,Yes,No,,2,5,8,8,122.98,No,Nothing was wrong with the staff. The problem was that the website did not tell me what I needed to know.
R0015,2026-01-12,Returning customer,35–44,Elsewhere in Finland,Web form,Complaint or follow-up,Technical Support,13,17.0,No,No,,3,3,4,3,82.02,Yes,The reply sounded impatient and I had to contact the company again before the problem was solved.
R0016,2026-06-28,New customer,45–54,Other part of region,Chat,Installation or setup,Technical Support,48,10.1,No,Yes,,4,4,3,3,70.15,Yes,I felt as if I was bothering the technician when I asked a follow-up question.
R0017,2026-03-16,Business customer,25–34,Local area,Phone,Delivery or order status,Orders & Delivery,3,0.5,Yes,Yes,,2,4,8,8,136.94,No,I needed help with a return and the employee explained the next step clearly.
R0018,2026-06-09,Returning customer,18–24,Elsewhere in Finland,Chat,Product or service information,Customer Information,4,1.8,Yes,Yes,,4,5,10,9,173.41,No,I got exactly the information I needed and did not have to contact the company again.
R0019,2026-03-07,Returning customer,35–44,Other part of region,Phone,Technical support,Technical Support,33,16.5,No,Yes,,4,3,5,5,22.25,Yes,The technician gave me a one-line answer and closed the conversation before I had understood the fix.
R0020,2026-01-31,New customer,25–34,Local area,Phone,Product or service information,Customer Information,10,5.2,No,Yes,,5,5,9,10,58.68,No,The woman who helped me took extra time to explain the options and I really appreciated it.
R0021,2026-06-24,New customer,25–34,Local area,In person,Product or service information,Customer Information,23,0.6,Yes,No,,3,5,10,8,46.38,No,
R0022,2026-02-17,Returning customer,25–34,Local area,Phone,Delivery or order status,Orders & Delivery,17,2.5,Yes,No,,2,4,9,7,88.66,No,"I searched the website for tracking information and could not find it, so I had to use the web form."
R0023,2026-05-23,New customer,35–44,Local area,Email,Purchase or booking,Customer Information,19,1.1,Yes,Yes,4,4,5,10,10,175.85,No,Excellent service from the older lady. She listened carefully and solved everything in one conversation.
